STREAM=27,1,1,PRF,ET,0.05,sec,T,0.45,sec,P,0,psig,,,
STREAM=27,1,1,PRF,ET,0.1,sec,T,0.4,sec,P,0.317,psig,,,
STREAM=27,1,1,FGN,ET,0.15,sec,T,2,sec,P,48.879,psig,,,
STREAM=27,1,1,FGN,ET,0.2,sec,T,1.95,sec,P,49.291,psig,,,
STREAM=27,1,1,FGN,ET,0.25,sec,T,1.9,sec,P,49.434,psig,,,
STREAM=27,1,1,FGN,ET,0.3,sec,T,1.85,sec,P,49.513,psig,,,
STREAM=27,1,1,FGN,ET,0.35,sec,T,1.8,sec,P,49.559,psig,,,
STREAM=27,1,1,FGN,ET,0.4,sec,T,1.75,sec,P,49.591,psig,,,
STREAM=27,1,1,FGN,ET,0.45,sec,T,1.7,sec,P,49.616,psig,,,
STREAM=27,1,1,FGN,ET,0.5,sec,T,1.65,sec,P,49.634,psig,,,
STREAM=27,1,1,FGN,ET,0.55,sec,T,1.6,sec,P,49.649,psig,,,
STREAM=27,1,1,FGN,ET,0.6,sec,T,1.55,sec,P,49.661,psig,,,
STREAM=27,1,1,FGN,ET,0.65,sec,T,1.5,sec,P,49.669,psig,,,
STREAM=27,1,1,FGN,ET,0.7,sec,T,1.45,sec,P,49.676,psig,,,
STREAM=27,1,1,FGN,ET,0.75,sec,T,1.4,sec,P,49.682,psig,,,
STREAM=27,1,1,FGN,ET,0.8,sec,T,1.35,sec,P,49.687,psig,,,
STREAM=27,1,1,FGN,ET,0.85,sec,T,1.3,sec,P,49.692,psig,,,
STREAM=27,1,1,FGN,ET,0.9,sec,T,1.25,sec,P,49.695,psig,,,
STREAM=27,1,1,FGN,ET,0.95,sec,T,1.2,sec,P,49.699,psig,,,
STREAM=27,1,1,FGN,ET,1,sec,T,1.15,sec,P,49.702,psig,,,
STREAM=27,1,1,FGN,ET,1.05,sec,T,1.1,sec,P,49.704,psig,,,
STREAM=27,1,1,FGN,ET,1.1,sec,T,1.05,sec,P,49.706,psig,,,
STREAM=27,1,1,FGN,ET,1.15,sec,T,1,sec,P,49.709,psig,,,
STREAM=27,1,1,FGN,ET,1.2,sec,T,0.95,sec,P,49.711,psig,,,
STREAM=27,1,1,FGN,ET,1.25,sec,T,0.9,sec,P,49.713,psig,,,
STREAM=27,1,1,FGN,ET,1.3,sec,T,0.85,sec,P,49.714,psig,,,
STREAM=27,1,1,FGN,ET,1.35,sec,T,0.8,sec,P,49.716,psig,,,
STREAM=27,1,1,FGN,ET,1.4,sec,T,0.75,sec,P,49.717,psig,,,
STREAM=27,1,1,FGN,ET,1.45,sec,T,0.7,sec,P,49.718,psig,,,
STREAM=27,1,1,FGN,ET,1.5,sec,T,0.65,sec,P,49.72,psig,,,
STREAM=27,1,1,FGN,ET,1.55,sec,T,0.6,sec,P,49.721,psig,,,
STREAM=27,1,1,FGN,ET,1.6,sec,T,0.55,sec,P,49.721,psig,,,
